form,dependencies
adm17a-eng.pdf.txt,"c(""adm17a"", ""adm17"", ""adm1"")"
adm18-eng.pdf.txt,"c(""adm18"", ""adm1"")"
adm19-eng.pdf.txt,"c(""adm19"", ""adm1"")"
adm1a-eng.pdf.txt,"c(""c4"", ""adm1"", ""adm1a"")"
adm1c-cym.pdf.txt,"c(""c2"", ""adm2"", ""adm1c"", ""adm1"")"
adm1c-eng.pdf.txt,"c(""adm1c"", ""adm1"")"
adm2-cym.pdf.txt,none detected
adm2-eng.pdf.txt,adm2
adm20-eng.pdf.txt,"c(""adm20"", ""adm2"")"
adm21-eng.pdf.txt,"c(""adm21"", ""adm2"")"
adm3-eng.pdf.txt,"c(""n11"", ""n1"", ""n16"", ""adm3"")"
adm4-eng.pdf.txt,adm4
adm5-eng.pdf.txt,adm5
adm6-eng.pdf.txt,adm6
adm7-eng.pdf.txt,adm7
adm9-eng.pdf.txt,adm9
ae-canllaw-cym.pdf.txt,d23
ae-faq-cym.pdf.txt,none detected
aj20-cym.pdf.txt,"c(""c1"", ""aj20"")"
aj22-eng.pdf.txt,"c(""n1"", ""c2"", ""c1"", ""aj22"")"
aj24-cym.pdf.txt,"c(""n2"", ""c2"", ""c1"", ""aj24"", ""c(f1)"")"
aj24-eng.pdf.txt,"c(""n2"", ""c2"", ""c1"", ""aj24"")"
aj25-cym.pdf.txt,"c(""c1"", ""aj25"")"
aj26-cym.pdf.txt,"c(""c4"", ""c1"", ""aj26"")"
aj26-eng.pdf.txt,"c(""c4"", ""c1"", ""aj26"")"
allowances-eng.pdf.txt,none detected
application-for-anonymity-(utiac)-eng.pdf.txt,c4
application-for-anonymity-notes-(iat)-eng.pdf.txt,none detected
application-for-anonymity-notes-(utiac)-eng.pdf.txt,c4
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.pdf.txt,none detected
bill-of-costs-(scco)-eng.pdf.txt,"c(""n258c"", ""n258"", ""n210"", ""n208"", ""n20"", ""n2"", ""ex340"", ""c2"", ""n21"", ""ex3"")"
c(pra1)-bil.pdf.txt,c1
c(pra1)-eng.pdf.txt,"c(""c1"", ""a1"")"
c(pra2)-bil.pdf.txt,"c(""c1"", ""a2"")"
c(pra2)-eng.pdf.txt,"c(""c1"", ""a2"")"
c(pra3)-bil.pdf.txt,c1
c(pra3)-eng.pdf.txt,"c(""c1"", ""a3"")"
c1-bil.pdf.txt,"c(""cb1"", ""c100"", ""c110"", ""c79"", ""c19"", ""c17"", ""c15"", ""c11"", ""c13"", ""c7"", ""c1a"", ""c1"", ""b1"", ""c10"")"
c1-cym.pdf.txt,c1
c1-eng.pdf.txt,"c(""fm1"", ""cb1"", ""c100"", ""c79"", ""c7"", ""c1"", ""b1"", ""c10"")"
c100-bil.pdf.txt,"c(""n20"", ""n2"", ""n1"", ""ex50"", ""cb7"", ""cb1"", ""c100"", ""c79"", ""c8"", ""c7"", ""c1a"", ""c1"", ""b1"", ""c10"", ""a8"", ""a81"", ""d1"")"
c100-eng.pdf.txt,"c(""n1"", ""ex50"", ""cb7"", ""cb1"", ""c100"", ""c79"", ""c8"", ""c7"", ""c1a"", ""c1"", ""b1"", ""c10"")"
c11-bil.pdf.txt,none detected
c110-bil.pdf.txt,"c(""c110"", ""c11"", ""c1"")"
c110-eng.pdf.txt,"c(""c110"", ""c11"", ""c1"")"
c110a-cym.pdf.txt,"c(""n1"", ""c110a"", ""c110"", ""c11"", ""c1"", ""b1"")"
c110a-eng.pdf.txt,"c(""c110a"", ""c110"", ""c11"", ""c1"")"
c12-bil.pdf.txt,none detected
c12-eng.pdf.txt,none detected
c120-eng.pdf.txt,"c(""c120"", ""c12"", ""c1"")"
c13-eng.pdf.txt,"c(""n2"", ""c13"", ""c1"")"
c13a-eng.pdf.txt,"c(""c13a"", ""c13"", ""c1"")"
c14-bil.pdf.txt,none detected
c14-eng.pdf.txt,"c(""c14"", ""c1"")"
c15-bil.pdf.txt,none detected
c15-eng.pdf.txt,"c(""c15"", ""c1"")"
c16-bil.pdf.txt,none detected
c16-eng.pdf.txt,"c(""c16"", ""c1"")"
c17-bil.pdf.txt,"c(""c17"", ""c1"")"
c17-eng.pdf.txt,"c(""c17"", ""c1"")"
c17a-bil.pdf.txt,none detected
c17a-eng.pdf.txt,"c(""c17a"", ""c17"", ""c1"")"
c18-bil.pdf.txt,none detected
c18-eng.pdf.txt,"c(""te3"", ""n5"", ""c18"", ""c1"", ""n50"")"
c19-eng.pdf.txt,"c(""c19"", ""c1"")"
c1a-bil.pdf.txt,"c(""n1"", ""c100"", ""c8"", ""c7"", ""c1a"", ""c1"", ""c10"", ""5001"")"
c1a-eng.pdf.txt,"c(""c100"", ""c8"", ""c7"", ""c1a"", ""c1"", ""c10"")"
c1a-nodiadau-c1a-notes-bil.pdf.txt,none detected
c1a-notes-eng.pdf.txt,none detected
c2-bil.pdf.txt,"c(""n2"", ""n1"", ""cb1"", ""c2"", ""b1"", ""d4"")"
c2-eng.pdf.txt,"c(""n1"", ""fm1"", ""ex160a"", ""ex160"", ""ex50"", ""cb1"", ""c100"", ""c8"", ""c1a"", ""c2"", ""c1"", ""b1"", ""c10"")"
c20-cym.pdf.txt,"c(""c20"", ""c2"")"
c20-eng.pdf.txt,"c(""c20"", ""c2"")"
c23-eng.pdf.txt,"c(""c23"", ""c2"")"
c3-bil.pdf.txt,none detected
c3-eng.pdf.txt,c3
c4-bil.pdf.txt,none detected
c4-eng.pdf.txt,c4
c5-bil.pdf.txt,"c(""d5"", ""cb1"", ""c5"", ""b1"", ""d1"", ""d55"")"
c5-eng.pdf.txt,"c(""cb1"", ""c51"", ""c5"", ""b1"", ""c51"")"
c51-bil.pdf.txt,"c(""cb1"", ""c52"", ""c51"", ""c8"", ""c5"", ""b1"", ""c51"", ""d1"")"
c51-eng.pdf.txt,"c(""cb1"", ""c52"", ""c51"", ""c8"", ""c5"", ""b1"", ""c51"")"
c52-bil.pdf.txt,"c(""c52"", ""c5"")"
c52-eng.pdf.txt,"c(""c52"", ""c8"", ""c5"")"
c60-bil.pdf.txt,none detected
c60-eng.pdf.txt,none detected
c61-eng.pdf.txt,none detected
c62-eng.pdf.txt,none detected
c63-bil.pdf.txt,"c(""n2"", ""ex160a"", ""ex160"", ""ex50"", ""cb1"", ""c63"", ""c8"", ""b1"", ""c6"")"
c63-eng.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb1"", ""c63"", ""c8"", ""b1"", ""c6"")"
c64-bil.pdf.txt,"c(""n11"", ""n1"", ""ex160a"", ""ex160"", ""ex50"", ""cb1"", ""c64"", ""c8"", ""b1"", ""c6"")"
c64-eng.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb1"", ""c64"", ""c8"", ""b1"", ""c6"")"
c65-bil.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb1"", ""c65"", ""c8"", ""b1"", ""c6"")"
c65-eng.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb1"", ""c65"", ""c8"", ""b1"", ""c6"")"
c66-bil.pdf.txt,"c(""n93"", ""n9"", ""d11"", ""cb1"", ""c66"", ""c8"", ""c1a"", ""c2"", ""c1"", ""b1"", ""c6"", ""d1"", ""d18"", ""d115"")"
c66-eng.pdf.txt,"c(""cb1"", ""c66"", ""c1a"", ""c2"", ""c1"", ""b1"", ""c6"")"
c67-eng.pdf.txt,"c(""cb1"", ""c67"", ""c8"", ""c1a"", ""c2"", ""c1"", ""b1"", ""c6"")"
c68-eng.pdf.txt,"c(""cb1"", ""c68"", ""c8"", ""c1a"", ""c2"", ""c1"", ""b1"", ""c6"")"
c69-eng.pdf.txt,"c(""cb1"", ""c69"", ""c8"", ""c1a"", ""c2"", ""c1"", ""b1"", ""c6"")"
c7-bil.pdf.txt,"c(""n5"", ""c7"")"
c7-eng.pdf.txt,"c(""n5"", ""c100"", ""c79"", ""c78"", ""c7"", ""c1a"", ""c1"", ""c10"", ""c10a"")"
c78-bil.pdf.txt,"c(""te7"", ""t116"", ""t11"", ""ex160a"", ""ex160"", ""c78"", ""c7"", ""d21"")"
c78-eng.pdf.txt,"c(""c78"", ""c7"")"
c79-bil.pdf.txt,"c(""t10"", ""t11"", ""cb5"", ""c79"", ""c7"")"
c79-eng.pdf.txt,"c(""n2"", ""ex160a"", ""ex160"", ""d6"", ""cb5"", ""c79"", ""c11"", ""c9"", ""c7"", ""c1"", ""d7"")"
c8-bil.pdf.txt,c8
c8-eng.pdf.txt,c8
c9-bil.pdf.txt,none detected
c9-eng.pdf.txt,c9
canllawiau-i-wys-rheithgor-guide-to-jury-summons-bil.pdf.txt,none detected
capsbacs1-eng.pdf.txt,"c(""n1"", ""capsbacs3"", ""capsbacs4"", ""capsbacs2"", ""capsbacs1"", ""5315"")"
capsbacs2-eng.pdf.txt,"c(""capsbacs2"", ""c2"")"
capsbacs3-eng.pdf.txt,capsbacs3
capsbacs4-eng.pdf.txt,"c(""capsbacs4"", ""capsbacs2"")"
cb1-cym.pdf.txt,"c(""fp9"", ""ex710"", ""ex160a"", ""ex160"", ""ex50"", ""cb5"", ""cb4"", ""cb3"", ""cb1"", ""c100"", ""c8"", ""c1a"", ""c2"", ""c1"", ""b1"", ""a20"", ""a2"", ""a1"", ""ex7"", ""c6"", ""c6a"", ""c10"", ""c10a"", ""a3"")"
cb1-eng.pdf.txt,"c(""fp9"", ""ex710"", ""ex160a"", ""ex160"", ""ex50"", ""cb5"", ""cb4"", ""cb3"", ""cb1"", ""c100"", ""c8"", ""c1a"", ""c2"", ""c1"", ""b1"", ""a20"", ""a2"", ""a1"", ""ex7"", ""c6"", ""c6a"", ""c10"", ""c10a"", ""a3"")"
cb2-cym.pdf.txt,"c(""cb7"", ""cb2"", ""c100"", ""c1"", ""c10"")"
cb2-eng.pdf.txt,"c(""cb7"", ""cb2"", ""c100"", ""c1"", ""c10"")"
cb3-cym.pdf.txt,"c(""cb3"", ""c79"", ""c9"", ""c7"", ""c2"", ""c1"", ""c6"", ""c6a"", ""c10"", ""c10a"")"
cb3-eng.pdf.txt,"c(""cb3"", ""c79"", ""c9"", ""c7"", ""c2"", ""c1"", ""c6"", ""c6a"", ""c10"", ""c10a"")"
cb4-cym.pdf.txt,"c(""fm1"", ""ex160a"", ""ex160"", ""ex50"", ""cb4"", ""cb3"", ""cb1"", ""c13a"", ""c13"", ""c8"", ""c2"", ""c1"", ""b1"")"
cb4-eng.pdf.txt,"c(""fm1"", ""ex160a"", ""ex160"", ""ex50"", ""cb4"", ""cb3"", ""cb1"", ""c13a"", ""c13"", ""c8"", ""c2"", ""c1"", ""b1"")"
cb5-cym.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb5"", ""cb3"", ""cb1"", ""c79"", ""c78"", ""c8"", ""c7"", ""c2"", ""b1"", ""c6"", ""c6a"")"
cb5-eng.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb5"", ""cb3"", ""cb1"", ""c79"", ""c78"", ""c8"", ""c7"", ""c2"", ""b1"", ""c6"", ""c6a"")"
cb6-cym.pdf.txt,none detected
cb6-eng.pdf.txt,"c(""cb6"", ""c120"", ""c12"", ""c1"")"
cb7-cym.pdf.txt,"c(""cb7"", ""a4"", ""c6"")"
cb7-eng.pdf.txt,"c(""ex50"", ""cb7"", ""cb6"", ""cb1"", ""c100"", ""c4"", ""c1"", ""b1"", ""a4"", ""c6"", ""c10"")"
certificate-of-loss-eng.pdf.txt,none detected
child-support-how-to-appeal-(england)-eng.pdf.txt,none detected
child-support-how-to-appeal-(scotland)-eng.pdf.txt,none detected
cic-guide-1996-eng.pdf.txt,"c(""te9"", ""t131"", ""t127"", ""t94"", ""t10"", ""t12"", ""t11"", ""ph8"", ""ph4"", ""no.52"", ""n30"", ""n11"", ""n9"", ""n7"", ""n6"", ""n5"", ""n3"", ""n1"", ""ex105"", ""et1"", ""d20"", ""d11"", ""d8"", ""c4"", ""b1"", ""a105"", ""a62"", ""a1"", ""n10"", ""n52"", ""n62"", ""n73"", ""n94"", ""ex10"", ""a6"", ""a8"", ""a83"", ""d1"", ""d7"", ""d12"", ""d13"", ""d14"", ""d73"", ""5001"", ""5002"")"
cic-guide-2001-eng.pdf.txt,"c(""ph9"", ""ph5"", ""ph2"", ""n20"", ""n30"", ""n8"", ""n9"", ""n3"", ""n2"", ""d8"", ""c1"", ""a4"", ""n32"", ""n33"", ""d1"", ""d3"", ""d14"", ""d26"", ""d29"", ""d34"")"
cic-guide-2008-eng.pdf.txt,"c(""te9"", ""t131"", ""t127"", ""t94"", ""t10"", ""t12"", ""t11"", ""ph8"", ""ph4"", ""no.52"", ""n30"", ""n11"", ""n9"", ""n7"", ""n6"", ""n5"", ""n3"", ""n1"", ""ex105"", ""et1"", ""d20"", ""d11"", ""d8"", ""c4"", ""b1"", ""a105"", ""a62"", ""a1"", ""n10"", ""n52"", ""n62"", ""n73"", ""n94"", ""ex10"", ""a6"", ""a8"", ""a83"", ""d1"", ""d7"", ""d12"", ""d13"", ""d14"", ""d73"", ""5001"", ""5002"")"
cic-guide-2012-eng.pdf.txt,none detected
cop-dla-cym.pdf.txt,"c(""d5"", ""d8"", ""c3"", ""d7"", ""d9a"", ""a01"")"
cop-dla-eng.pdf.txt,"c(""t10"", ""n5"", ""a1"", ""n53"", ""d3"")"
cop-dlb-cym.pdf.txt,none detected
cop-dlb-eng.pdf.txt,a1
cop-dlc-cym.pdf.txt,c04
cop-dld-cym.pdf.txt,none detected
cop-dld-eng.pdf.txt,none detected
cop-dle-cym.pdf.txt,n1
cop-dle-eng.pdf.txt,a1
cop-dol10-cym.pdf.txt,"c(""n143"", ""n8"", ""n9"", ""n3"", ""n1"", ""d11"", ""cop3"", ""a1"", ""n17"", ""n94"", ""d1"", ""d3"", ""d15"", ""d19"", ""d115"", ""d162"")"
cop-dol10-eng.pdf.txt,"c(""n242"", ""n24"", ""n5"", ""n3"", ""n2"", ""cop3"", ""a1"")"
cop-faq-eng.pdf.txt,"c(""n5"", ""n2"", ""n1"", ""cop44"", ""cop44a"", ""cop24"", ""cop9"", ""cop4"", ""cop3"", ""cop2"", ""cop1b"", ""cop1a"", ""cop1"", ""c1a"", ""c1"")"
cop-gn1-cym.pdf.txt,"c(""n11"", ""n2"", ""n1"", ""cop44"", ""cop24"", ""cop9"", ""cop4"", ""cop3"", ""cop2"", ""cop1a"", ""cop1"", ""c1a"", ""c1"", ""n112"")"
